"lemma","prior_polarity_score"
"accommodating",0.21
"accommodation",0.44
"accommodative",0.34
"accompany",0.11
"accomplice",-0.10
"accomplish",0.61
"accomplishable",0.15
"accomplished",0.28
"accomplishment",0.76
"accord",0.34
"accord",0.34
"accordance",-0.08
"accordant",0.23
"according",0.10
"accordingly",0.05
"accordion",0.06
"accost",0.10
"account",0.09
"account",0.09
"accountability",-0.02
"accountable",0.17
"accountant",0.04
"accounting",-0.14
"accouterment",-0.28
"accoutrement",-0.28
"accretion",0.08
"accretionary",-0.28
"accretive",-0.19
"acculturation",0.16
"accumbent",-0.07
"accumulate",0.33
"accumulation",-0.09
"accumulative",0.17
"accuracy",0.33
"accurate",0.60
"accurately",0.15
"accurse",-0.06
"accursed",-0.44
"accurst",-0.19
"accusation",-0.40
"accusative",-0.16
"accusatory",-0.34
"accuse",-0.58
"accuser",-0.08
"accusing",-0.34
"accusingly",0.08
"accusive",-0.34
"accustomed",0.21
"ace",0.34
"ace",0.34
"ace",0.34
"acedia",-0.01
"acellular",-0.34
"acentric",-0.29
"acephalia",-0.34
"acephalism",-0.34
"acephalous",0.04
"acephaly",-0.34
"acerb",-0.32
"acerbate",-0.18
"acerbic",-0.32
"acerbity",-0.37
"acetaminophen",-0.34
"acetify",-0.02
"acetin",-0.07
"acetonemia",-0.19
"acetonuria",-0.34
"acetose",-0.19
"acetous",-0.19
"acetum",-0.02
"acetylene",-0.22
"ache",-0.43
"ache",-0.43
"acheronian",-0.07
"acherontic",-0.07
"achievability",0.12
"achievable",0.15
"achieve",0.68
"achievement",0.57
"achiever",0.15
"aching",-0.42
"aching",-0.16
"achlamydeous",-0.38
"achlorhydria",-0.38
"achlorhydric",-0.17
"acholia",-0.28
"achondrite",-0.28
"achondritic",-0.12
"achondroplasia",-0.34
"achondroplastic",-0.07
"achondroplasty",-0.34
"achromasia",-0.38
"achromatic",-0.05
"achromatous",-0.28
"achromia",-0.38
"achy",-0.46
"achylia",-0.02
"acid",-0.43
"acid",-0.43
"acidemia",-0.38
"acid-fast",-0.17
"acid-forming",-0.34
"acidic",-0.17
"acidify",-0.02
"acidity",-0.06
"acid-loving",-0.19
"acidophilus",-0.07
"acidotic",0.08
"acid-tasting",-0.34
"acidulate",-0.07
"acidulent",-0.17
"acidulous",-0.17
"acidulousness",-0.07
"acknowledge",0.35
"acknowledgeable",0.28
"acknowledged",0.16
"acknowledgement",0.38
"acknowledgment",0.01
"acme",0.10
"acne",-0.70
"acned",-0.28
"acneiform",-0.17
"acnidosporidia",0.12
"acold",-0.38
"acolyte",-0.28
"acorea",-0.34
"acorn",0.21
"acorn-shaped",0.12
"acoustic",0.52
"acoustic",0.52
"acoustically",0.15
"acoustics",0.33
"acquaint",0.08
"acquaintance",0.14
"acquaintanceship",0.21
"acquainted",0.28
"acquiescence",0.23
"acquiescent",0.15
"acquirable",0.28
"acquire",0.12
"acquirement",0.15
"acquisition",2.0e-05
"acquisitiveness",0.15
"acquit",0.15
"acquittal",0.29
"acquitted",-0.06
"acre",0.13
"acreage",0.06
"acrid",-0.08
"acridity",-0.35
"acridness",-0.29
"acrimonious",0.06
"acrimony",-0.13
"acritical",-0.18
"acroanaesthesia",-0.07
"acroanesthesia",-0.07
"acrobat",0.25
"acrobatic",0.17
"acrobatics",0.10
"acrocyanosis",-0.07
"acromegalia",-0.19
"acromegalic",-0.28
"acromegaly",-0.19
"acronymic",0.08
"acronymous",0.08
"acrophobia",0.08
"acrophobic",-0.42
"across-the-board",0.17
"acrylamide",-0.07
"acrylic",0.13
"act",0.16
"actable",0.28
"acting",0.12
"actinomyces",-0.07
"actinomycosis",-0.34
"actinomycotic",-0.07
"actinomyxidia",-0.08
"actinomyxidian",-0.08
"actinopod",0.12
"action",0.25
"actionable",0.15
"activate",0.17
"activated",-9.9e-03
"activating",-0.02
"activation",0.28
"active",0.36
"active",0.36
"actively",0.21
"activeness",0.10
"activewear",-0.19
"activist",0.31
"activist",0.31
"activity",0.30
"actor",0.28
"actress",0.10
"actual",0.30
"actualisation",0.21
"actualise",0.12
"actuality",0.10
"actualization",0.21
"actualize",0.12
"actually",0.16
"acuity",0.15
"aculeate",0.08
"aculeated",0.08
"acumen",0.17
"acuminate",0.15
"acupuncture",-0.04
"acute",0.02
"acute",0.02
"acutely",0.17
"acuteness",0.04
"acyclic",0.10
"acyclovir",-0.34
"acylglycerol",-0.01
"ad",-0.22
"ad",-0.22
"adactylia",-0.34
"adactylism",-0.34
"adactylous",-0.07
"adactyly",-0.34
"adage",0.13
"adagio",-0.07
"adagio",0.10
"adamance",-0.05
"adamant",0.11
"adamant",0.11
"adamantine",-0.20
"adapt",0.21
"adaptability",0.15
"adaptation",0.20
"adaptative",0.15
"adaptive",0.15
"ada-scid",-0.28
"adaxially",0.15
"add",0.30
"add",0.30
"addable",0.21
"adder",-0.13
"addible",0.21
"addict",-0.53
"addicted",-0.52
"addiction",-0.37
"addictive",-0.37
"additional",0.28
"additive",-0.09
"addle",-0.28
"addlebrained",0.04
"addled",-0.42
"addlehead",-0.19
"addle-head",-0.19
"addlepated",0.04
"address",0.27
"address",0.27
"addressable",0.28
"addressed",0.12
"adenitis",-0.34
"adenocarcinoma",-0.07
"adenomyosarcoma",-0.06
"adenomyosis",-0.19
"adenopathy",0.12
"adept",0.28
"adeptness",0.21
"adequacy",-0.08
"adequate",-0.07
"adequately",0.15
"adequateness",-0.05
"adermin",0.12
"adhd",0.25
"adhere",0.04
"adhesive",0.21
"adhesive",0.21
"adiabatic",-0.38
"aditi",-0.05
"adjacent",0.03
"adjectivally",0.12
"adjective",0.23
"adjective",0.23
"adjoin",0.01
"adjourn",0.12
"adjunct",-0.16
"adjuration",0.15
"adjust",0.19
"adjustable",0.31
"adjusted",0.04
"adjuster",-0.18
"adjustive",0.25
"adjustment",0.13
"ad-lib",-0.38
"administer",-0.15
"administrable",0.28
"administration",-0.13
"administrative",-0.05
"administrator",0.08
"admirability",0.51
"admirable",0.50
"admirableness",0.51
"admirably",0.21
"admiral",-0.05
"admiralty",0.29
"admiration",0.64
"admire",0.58
"admired",0.56
"admirer",0.51
"admiringly",0.48
"admissibility",-0.13
"admissible",0.04
"admission",0.22
"admissive",0.08
"admit",0.14
"admittable",-0.05
"admittance",0.32
"admittible",-0.05
"admixture",-0.04
"admonish",0.16
"admonishing",-0.38
"admonishment",0.15
"admonition",0.08
"admonitory",-0.36
"ado",-0.04
"adobe",0.06
"adolescence",0.25
"adolescent",0.09
"adolescent",0.09
"adonis",0.16
"adopt",0.47
"adoptable",0.36
"adopted",0.21
"adoption",0.42
"adoptive",0.16
"adorability",0.15
"adorable",0.60
"adorableness",0.15
"adorably",0.15
"adoration",0.36
"adore",0.59
"adored",0.17
"adoring",0.59
"adoringly",0.37
"adorn",0.15
"adorned",0.17
"adornment",0.17
"adrenalin",0.33
"adrenaline",0.40
"adrenergic",0.15
"adrenocorticotrophic",0.08
"adrenocorticotropic",0.08
"adrift",-0.16
"adrift",-0.16
"adroit",0.15
"adroitly",0.28
"adroitness",0.21
"adsorbable",0.15
"adsorbate",0.15
"adsorbate",0.17
"adulate",0.28
"adulation",-0.06
"adulatory",0.15
"adult",0.22
"adult",0.22
"adulterate",-0.28
"adulterate",-0.07
"adulterated",-0.07
"adulterer",-0.55
"adulteress",-0.07
"adulterine",-0.28
"adulterous",-0.39
"adulterously",0.12
"adultery",-0.54
"adulthood",0.01
"adumbrate",0.10
"adumbration",0.01
"adust",-0.08
"advance",0.27
"advance",0.27
"advanced",0.28
"advancement",0.61
"advantage",0.42
"advantage",0.42
"advantageous",0.44
"advantageously",0.28
"advantageousness",0.25
"advent",0.16
"adventitious",-0.06
"adventive",-0.42
"adventure",0.60
"adventure",0.60
"adventurer",0.50
"adventuresome",0.20
"adventurism",0.12
"adventurous",0.59
"adventurousness",-0.08
"adversary",-0.11
"adversative",-0.05
"adverse",-0.33
"adversely",0.15
"adversity",-0.18
"advertence",0.12
"advertency",0.12
"advertent",0.21
"advertently",0.17
"advertise",0.04
"advertisement",-0.17
"advertising",-0.08
"advice",0.19
"advil",-0.19
"advisability",0.20
"advisable",0.15
"advise",0.11
"advised",0.23
"advisedly",0.17
"advisement",-0.11
"adviser",0.17
"advisor",-0.06
"advisory",-0.01
"advocate",0.06
"advocate",0.06
"adynamia",-0.34
"adynamic",-0.39
"aegis",-0.12
"aegyptopithecus",0.12
"aengus",0.17
"aeon",0.08
"aeonian",0.15
"aepyorniformes",-0.07
"aerate",-6.0e-05
"aerated",-0.02
"aerial",0.26
"aerial",0.26
"aerie",0.17
"aeriform",-5.0e-03
"aerobacter",-0.08
"aerobe",0.12
"aerobic",0.17
"aerobics",0.25
"aerodynamic",0.29
"aerospace",0.19
"aery",-0.05
"aery",0.17
"aesop",-0.07
"aesthesia",-0.17
"aesthesis",-0.06
"aesthete",0.17
"aesthetic",0.10
"aesthetic",0.10
"aesthetical",0.28
"aesthetician",0.21
"aesthetics",0.04
"aestival",0.12
"aetiologic",0.10
"aetiological",0.10
"aetiologist",0.12
"aetiology",0.11
"afar",0.12
"afeard",-0.07
"afeared",-0.07
"affability",0.04
"affable",0.28
"affableness",0.04
"affably",0.15
"affair",-0.47
"affaire",0.08
"affairs",0.23
"affect",0.16
"affect",0.16
"affected",0.06
"affectedly",-0.28
"affectedness",-0.19
"affecting",0.15
"affectingly",0.17
"affection",0.72
"affectional",0.06
"affectionate",0.55
"affectionately",0.37
"affectionateness",0.23
"affective",0.06
"affidavit",-0.15
"affiliation",0.08
"affinity",0.21
"affirm",0.08
"affirmable",0.28
"affirmation",0.23
"affirmative",0.23
"affirmatively",0.15
"affirmativeness",0.36
"affirmatory",0.21
"affirmer",0.15
"affixed",0.12
"afflatus",0.21
"afflict",-0.46
"afflicted",-0.27
"affliction",-0.31
"afflictive",-0.39
"affluence",0.15
"affluent",-0.19
"afford",0.39
"affordable",0.63
"affray",-0.28
"affright",-0.35
"affright",0.17
"affront",-0.11
"affront",-0.11
"afibrinogenemia",-0.34
"afire",0.26
"aflame",0.01
"aflaxen",-0.07
"aflicker",0.15
"afloat",0.14
"aflutter",-0.17
"aforementioned",0.05
"afraid",-0.68
"african",0.35
"african",0.35
"afro",-0.01
"afro-wig",-0.19
"afterglow",0.17
"afterlife",0.13
"aftermath",-0.17
"afternoon",0.42
"aftertaste",-0.01
"afterthought",-0.12
"agalactia",-0.34
"agalactosis",-0.34
"agamic",-0.38
"agammaglobulinemia",-0.38
"agamogenesis",-0.28
"agamogenetic",-0.38
"agamous",-0.38
"agape",-0.07
"agape",0.27
"age",0.19
"age",0.19
"aged",0.27
"ageing",-0.06
"ageing",0.08
"ageism",0.12
"ageless",0.15
"agelessness",-0.02
"agency",0.03
"agenda",0.01
"agenesia",-0.07
"agenesis",-0.07
"agent",0.05
"age-old",-0.07
"agerasia",0.12
"aggeus",-0.08
"agglomerate",0.15
"agglomerated",0.15
"agglomerative",0.15
"aggrandise",0.12
"aggrandize",0.12
"aggravate",-0.61
"aggravated",-0.23
"aggravating",-0.19
"aggravation",-0.63
"aggravator",-0.19
"aggregate",-0.02
"aggregate",0.05
"aggregated",0.04
"aggregative",0.04
"aggress",-0.34
"aggression",-0.45
"aggressive",-0.48
"aggressively",0.21
"aggressiveness",-0.35
"aggressor",-0.55
"aggrieve",-0.09
"aggro",-0.28
"aggroup",0.17
"aghast",0.15
"agile",0.23
"agilely",0.21
"agility",0.38
"aging",-0.50
"aging",-0.50
"agism",0.12
"agitate",-0.41
"agitated",-0.35
"agitating",-0.33
"agitation",-0.54
"agitative",-0.33
"aglaia",0.12
"agleam",0.17
"aglow",0.21
"agnail",-0.19
"agnatha",-0.19
"agnathan",-0.34
"agnise",0.17
"agnize",0.17
"agnosia",-0.16
"agnostic",0.10
"agnostic",0.17
"agnostical",0.17
"agnosticism",0.15
"agog",0.28
"agonadal",-0.06
"agonal",-0.19
"agonise",-0.46
"agonised",-0.42
"agonising",-0.35
"agonistic",-0.01
"agonistical",-0.19
"agonize",-0.46
"agonized",-0.42
"agonizing",-0.58
"agonizingly",-0.07
"agony",-0.63
"agoraphobic",-0.42
"agranulocytic",-0.19
"agranulocytosis",-0.34
"agranulosis",-0.34
"agrapha",-0.34
"agree",0.54
"agreeability",0.36
"agreeable",0.47
"agreeableness",0.37
"agreeably",0.17
"agreement",0.43
"agrestic",-0.02
"agribusiness",0.04
"agricultural",0.12
"agriculture",0.27
"agromania",-0.06
"ague",0.09
"aguish",-0.25
"ahead",0.12
"ahimsa",0.12
"ahistorical",-0.28
"ahriman",-0.25
"ahura",0.17
"aid",0.32
"aid",0.32
"aide",0.15
"aids",-0.37
"ail",-0.46
"ailing",-0.51
"ailment",-0.50
"ailurophobia",-0.01
"ailurus",-0.28
"aim",0.23
"aimless",0.19
"aimlessly",0.15
"aimlessness",0.28
"air",0.42
"air",0.42
"airborne",0.06
"aircraft",0.32
"air-dried",-0.07
"air-dry",-0.38
"aired",-0.07
"airedale",-0.07
"airfield",0.18
"air-filled",-0.19
"airhead",-0.22
"airheaded",-0.34
"airily",0.15
"airless",-0.06
"airline",0.09
"airliner",0.26
"airlock",-0.03
"airplane",0.06
"airport",0.25
"airs",-0.28
"airship",0.15
"airsick",-0.34
"air-slake",-0.34
"airspace",0.12
"airspeed",-0.01
"airstrip",-0.06
"airtight",0.02
"air-tight",-0.37
"airway",-0.01
"airworthy",0.12
"airy",-0.15
"aisle",0.04
"ajar",4.0e-05
"akaryocyte",-0.28
"akaryote",-0.28
"akeridae",-0.07
"akin",-0.05
"akinesia",-0.01
"akinesis",-0.01
"alabaster",0.12
"alabaster",0.12
"alabastrine",-0.01
"alacritous",0.21
"alacrity",0.17
"alalia",-0.38
"alar",-0.02
"alarm",-0.28
"alarm",-0.28
"alarmed",-0.38
"alarming",-0.37
"alarmingly",0.15
"alarmism",-0.07
"alarmist",-0.07
"alary",-0.07
"alas",-0.39
"albatross",0.17
"albigensianism",0.21
"albinal",-0.34
"albinic",-0.34
"albinism",-0.38
"albinistic",-0.34
"albino",-0.02
"albinotic",-0.34
"albion",0.15
"albuginaceae",-0.19
"albugo",-0.34
"album",0.29
"albuminuria",-0.34
"alcalescent",-0.17
"alcaptonuria",0.21
"alchemist",0.12
"alcohol",-0.22
"alcoholic",-0.62
"alcoholic",-0.62
"alcoholise",-0.08
"alcoholism",-0.75
"alcoholize",-0.10
"alcohol-soluble",-0.07
"alcove",0.12
"aldactone",-0.19
"alderman",-0.14
"ale",0.23
"aleatory",0.12
"aleph-nought",-0.07
"aleph-null",-0.07
"aleph-zero",-0.07
"alert",0.09
"alert",0.09
"alert",0.09
"alerting",-0.02
"alertly",0.15
"alertness",0.15
"aleve",-0.07
"alexia",-0.25
"alexic",-0.07
"alfalfa",-0.05
"alga",-0.19
"algae",-0.19
"algebra",0.10
"algebraically",0.15
"alger",0.12
"algidity",0.35
"algoid",-0.08
"algolagnia",-0.38
"algolagnic",-0.07
"algometry",-0.19
"algophilia",-0.38
"algophobia",-0.38
"algophobic",-0.39
"algorithm",0.07
"alias",6.0e-05
"alias",9.0e-05
"alibi",-0.21
"alibi",-0.21
"alien",-0.13
"alien",-0.13
"alienage",-0.26
"alienate",-0.55
"alienated",-0.05
"alienating",-0.42
"alienation",-0.61
"alienator",-0.28
"alienism",-0.29
"alienist",-0.19
"aliform",-0.07
"alight",0.16
"alight",0.16
"align",0.23
"alignment",0.25
"alike",0.15
"alike",0.17
"alikeness",-0.06
"alimental",0.15
"alimentary",0.15
"alimony",-0.28
"aliquant",-0.38
"aliquot",-0.01
"alive",0.39
"aliyah",0.23
"alkalemia",-0.34
"alkalescent",-0.17
"alkaline-loving",-0.19
"alkalosis",-0.19
"alkalotic",0.04
"alkaptonuria",0.21
"all",0.17
"all",0.21
"allantoic",0.08
"allantoid",0.12
"allargando",0.15
"allayer",0.12
"all-devouring",-0.07
"allegation",-0.43
"alleged",-0.34
"allegement",0.21
"allegiance",0.20
"allegiant",0.12
"allegorically",0.15
"allegory",0.08
"allegretto",-0.28
"allegretto",0.15
"allegro",2.0e-05
"allegro",6.0e-05
"all-embracing",0.17
"all-encompassing",0.17
"allergic",-0.50
"allergy",-0.52
"alleviant",-0.38
"alleviate",0.31
"alleviated",-0.42
"alleviation",0.12
"alleviative",-0.38
"alleviator",-0.38
"alleviatory",-0.38
"alley",-0.20
"alleyway",-0.38
"all-fired",-0.19
"all-fired",-0.01
"alliaceae",-0.19
"alliaceous",-0.09
"alliance",0.28
"allied",0.23
"alligator",-0.19
"alligator",-0.19
"alligatored",-0.19
"all-important",0.37
"all-inclusive",0.17
"alliteratively",0.15
"all-knowing",0.21
"allocation",0.08
"allomerism",-0.19
"allometric",-0.01
"allopathy",-0.08
"allopurinol",-0.07
"all-or-none",-0.19
"all-or-nothing",-0.19
"allot",0.08
"allotment",0.10
"allotropic",0.17
"allotropical",0.17
"all-out",-0.19
"allow",0.34
"allowable",-0.02
"allowably",0.17
"allowance",0.43
"alloy",0.05
"alloy",0.05
"alloyed",-0.22
"all-powerful",0.12
"all-purpose",-0.42
"all-time",0.08
"allure",0.47
"allure",0.47
"allurement",0.21
"alluring",0.43
"allusive",-0.02
"allusiveness",0.08
"all-victorious",-0.34
"all-weather",-0.19
"ally",0.26
"ally",0.26
"almanac",0.13
"almighty",0.28
"almighty",0.28
"almond",0.26
"almond-eyed",0.15
"almond-scented",-0.19
"almond-shaped",0.12
"alms",-0.34
"almsgiving",-0.34
"alms-giving",-0.34
"aloeaceae",-0.34
"aloes",0.12
"aloft",0.08
"aloha",0.52
"alone",-0.28
"alone",-0.28
"aloneness",-0.33
"aloof",-0.10
"aloof",-0.10
"aloofness",-0.06
"alp",0.21
"alpestrine",0.21
"alpha",0.12
"alpha",0.12
"alphabet",0.23
"alphabetical",0.33
"alpha-lipoprotein",0.15
"alpine",0.21
"alpinism",-0.34
"alpinist",-0.34
"already",0.12
"alright",-0.02
"alright",0.26
"also-ran",-0.28
"alstroemeriaceae",-0.19
"altace",0.12
"altar",0.14
"alter",-0.10
"alterability",0.06
"alterable",0.12
"alteration",0.01
"alterative",0.44
"altercate",0.15
"altercation",-0.34
"altered",-6.0e-05
"altering",-0.07
"alternate",0.03
"alternate",0.03
"alternate",0.03
"alternating",0.09
"alternative",0.08
"alternative",0.08
"altimeter",-0.12
"altissimo",0.21
"altitude",0.06
"altitudinous",0.21
"altogether",-0.19
"altogether",0.20
"altruism",0.36
"altruistic",0.44
"altruistically",0.15
"alumina",-0.07
"aluminum",0.02
"alumnus",-0.01
"alveolitis",-0.06
"always",0.03
"alzheimers",-0.68
"alzheimer's",-0.07
"am",5.6e-03
"amain",-0.06
"amalgamative",-0.38
"amaranthine",-0.06
"amaretto",0.25
"amastia",-0.28
"amateur",-0.10
"amateur",-0.10
"amateurish",0.08
"amateurishly",0.15
"amateurishness",-0.06
"amati",0.15
"amative",0.36
"amativeness",0.21
"amatory",0.25
"amaurosis",-0.28
"amaurotic",-0.19
"amaze",0.56
"amazed",0.63
"amazement",0.57
"amazing",0.68
"amazingly",0.12
"amazon",0.08
"ambages",-0.07
"ambagious",0.17
"ambassador",0.12
"amber",0.28
"amber",0.28
"amberbell",-0.19
"ambidexterity",0.12
"ambidextrous",-0.09
"ambidextrousness",0.12
"ambience",0.33
"ambient",0.33
"ambiguity",0.15
"ambiguous",0.04
"ambiguously",0.17
"ambition",0.57
"ambition",0.57
"ambitionless",0.21
"ambitious",0.33
"ambitiously",0.17
"ambitiousness",0.15
"ambivalence",-0.05
"ambivalency",-0.05
"ambivalent",-0.38
"ambiversion",-0.28
"ambiversive",-0.19
"amble",-0.07
"ambrosia",0.23
"ambrosial",0.35
"ambrosian",0.27
"ambulance",-0.32
"ambulate",-0.38
"ambuscade",-0.34
"ambush",-0.45
"ambush",-0.45
"amd",0.12
"ameban",-0.07
"amebiasis",-0.38
"amebic",-0.07
"amebiosis",-0.38
"ameboid",-0.07
"amebous",-0.07
"amelia",-0.34
"ameliorate",0.17
"ameliorating",-0.06
"amelioration",0.12
"ameliorative",-0.06
"amelioratory",-0.06
"amenability",0.12
"amenable",-0.22
"amenableness",0.12
"amend",0.21
"amendable",0.21
"amended",0.17
"amendment",0.15
"amends",0.42
"amenia",-0.38
"amenity",0.28
"amenorrhea",-0.38
"amenorrhoea",-0.38
"amentaceous",0.06
"amentia",-0.05
"amentiferous",0.06
"amercement",-0.07
"amerciable",-0.07
"ametabolic",-0.06
"ametabolous",-0.06
"amethopterin",-0.38
"amethyst",-0.07
"amethystine",-0.01
"ametria",-0.34
"ametropia",-0.19
"ametropic",-0.19
"amia",-0.07
"amiability",0.42
"amiable",0.42
"amiableness",0.04
"amiably",0.15
"amicability",-0.19
"amicable",0.44
"amicableness",-0.19
"amicably",0.15
"amigo",0.15
"amino",-0.13
"amino",-0.13
"aminoaciduria",0.12
"amiss",-0.42
"amiss",-0.17
"amitosis",-0.08
"amity",-0.41
"ammo",-0.20
"ammodytes",-0.07
"ammonia",-0.31
"ammoniate",-0.28
"ammoniated",-0.19
"ammonify",-0.07
"ammonite",-0.01
"ammonium",-0.23
"ammoniuria",-0.38
"ammonoid",-0.01
"ammunition",-0.10
"amnesia",-0.39
"amnesiac",-0.34
"amnesiac",-0.19
"amnesic",-0.19
"amnesic",-0.10
"amnesty",0.09
"amnesty",0.09
"amnic",0.04
"amnionic",0.04
"amniotic",0.04
"amobarbital",-0.25
"amoeban",-0.07
"amoebiasis",-0.38
"amoebic",-0.07
"amoebiosis",-0.38
"amoeboid",-0.07
"amoebous",-0.07
"amok",-0.17
"amok",0.10
"amoralism",0.25
"amoralist",0.36
"amorality",-0.13
"amorally",-0.38
"amorist",0.17
"amoristic",0.21
"amorous",0.23
"amorously",0.12
"amorousness",0.28
"amorphous",-0.24
"amort",0.17
"amount",0.10
"amount",0.10
"amour",0.35
"amp",0.19
"amphibian",0.10
"amphibian",0.10
"amphibious",0.18
"amphibolips",-0.38
"amphipod",0.17
"amphiprostylar",0.17
"amphiprostyle",0.17
"amphiprotic",0.21
"amphisbaena",-0.02
"amphisbaenia",-0.07
"amphistylar",0.17
"amphoteric",0.21
"ample",0.22
"ampleness",0.02
"amplify",0.26
"amplitude",-0.05
"amply",0.17
"ampulla",-0.10
"amputate",-0.72
"amputation",-0.79
"amrinone",0.12
"amuck",-0.25
"amuck",-0.25
"amulet",0.18
"amuse",0.52
"amused",0.51
"amusement",0.50
"amusing",0.65
"amusingly",0.36
"amusive",0.21
"amygdaliform",0.12
"amygdaline",0.15
"amygdaloid",0.12
"amygdaloidal",0.12
"amyl",0.12
"amylaceous",0.04
"amyloid",0.04
